Lemons,5.54,511
Paprika,19.80,768
Steak,20.49,199
Mousse ,4.76,918
Spinach,17.17,209
Chocolate,11.61,662
Beef pot pie,7.03,302
Salmon,17.10,637
Molasses,20.67,374
Fruit,9.88,317
Kumquats,5.92,723
Meat tenderizer,2.36,353
BBQ sauce,7.75,266
Sugar substitute,11.53,1
Cherries,3.54,194
Scrubbers,17.81,789
Doughnuts,8.54,61
Onion soup,11.37,28
Egg substitute,5.73,565
Baby shampoo,14.59,890
Apple sauce,11.35,54
Nuts,15.37,145
Perogies,15.05,961
Beans,11.52,255
Parsley,17.69,335
Sweet & sour sauce,6.34,724
Cod,20.76,588
Chicken wings,4.24,985
Hair color,20.34,558
Plastic cutlery,20.66,844
Cream of wheat,1.58,161
Garbage bags,10.39,439
Sandwich bread,12.99,979
Cottage cheese,15.23,546
Cold medicine,16.34,647
Liver,15.71,191
Corn creamed,12.17,88
Pop,7.93,290
Mashed potatoes,2.27,380
Tomatoes,5.09,152
Puffed wheat,17.81,501
Mozzarella sticks,11.41,497
Baby food,15.63,530
Facial tissue,13.81,36
Baking soda,13.79,653
Muslix,7.57,722
Ginger,3.35,240
Nuts,12.19,862
Garlic,12.09,963
Pectin,11.63,43
Non-stick spray,10.91,956
Bean salad,10.22,167
Bagels,6.99,330
Green peppers,6.70,792
Blue berries,15.45,632
Flea collar,15.39,682
Salad dressing,6.27,526
Mineral water,10.48,576
Garlic bread,6.17,454
Pumpernickel,20.50,519
Milk chocolate,1.32,554
Lunch bags,13.24,701
Roast beef,18.86,859
Soup,19.80,587
Anchovies,1.18,743
Baby wash,12.39,771
Melon,9.01,435
Turkey,12.79,621
Strawberries,12.95,714
Hand soap,17.24,3
Catnip,13.84,848
Corned beef,16.34,583
Corn chips,13.09,637
Coffee,7.54,410
Chicken nuggets,12.44,114
Pepperoni,7.82,480
Oregano,4.21,298
Flour,7.23,767
Potato soup,11.63,965
Mayonnaise,1.33,246
Mixed vegetables,14.68,761
Juice,16.71,67
Cabbage,19.04,327
Hickory sticks,7.67,894
Stew,1.46,441
Oranges,3.27,37
Cotton balls,20.47,756
Ketchup,17.91,147
Pizza,1.38,710
Wax paper,12.73,663
Burritos,9.24,358
Oatmeal,2.08,999
Potato nuggets,18.08,90
Endives,6.75,668
Rotini,4.96,343
Sorbet,2.10,146
Bathroom cleaner,7.96,930
Turkey breast,2.31,348
Hot/Cold rub,11.43,267
Hot sauce,7.90,433
Mustard,15.90,704
Vector,8.95,51
Yams,5.85,548
Chili Sauce,10.11,142
Nectarines,5.70,691
Breast pads,19.54,946
Cucumbers,17.63,359
Kitchen cleaner,10.58,678
Halibut,20.47,11
Syrup,10.23,89
Hot dogs,2.70,753
All spice,1.46,600
Ravioli,7.34,751
Sponges,14.25,211
Fabric softener,12.37,823
Sugar,11.61,934
Aluminum foil,14.21,365
Paper towel,3.60,535
Eggs,10.05,427
Plums,14.07,751
Chip dip,8.31,221
Butter,14.05,301
Bananas,6.66,675
Sourdough,5.73,274
Red snapper,19.61,97
Hash browns,16.66,263
Rutabagas,9.31,340
Body wash,6.58,932
Cauliflower,12.16,611
Parsley,7.20,647
Cheese spread,3.10,984
Macaroni,12.37,940
Vinegar,16.43,448
Shrimp,19.53,837
Salsa,17.82,301
Grapes,10.98,485
Reflective collar,2.71,152
Pineapple,11.86,786
Carpet freshener,12.42,254
Pancake mix,2.03,309
Berries,4.66,885
Veggie burgers,1.89,50
Oil,7.85,963
Radishes,6.79,489
Pears,20.64,47
Peaches,7.09,484
Tortillas,14.12,691
Oat meal,10.68,257
Pizza snacks,5.98,772
Steak sauce,9.44,638
Pizza,18.32,674
Escargot (snails),12.62,718
Onions,13.93,661
Juice concentrate,20.60,892
Teething ointment,1.30,335
Cookies,11.51,212
Squash,20.23,413
Avocados,3.18,244
Raisin bread,15.56,286
Sprinkles,11.18,132
Chips,11.03,752
Cheezies,8.70,375
Pineapple,12.49,81
Veggie burgers,15.53,289
Bottle nipples,5.82,484
HP sauce,2.43,841
Spaghetti,6.52,287
Gum,4.75,315
French fries,9.70,73
Paper plates,18.85,264
Pot scrubbers,20.13,875
Hair gel,19.21,425
Tater tots,14.33,146
Chew toy,17.56,62
Burger patties,8.07,351
Peaches,7.50,440
Corn meal,1.24,378
Pabulum,15.60,97
Veggie dogs,3.30,521
Basil,8.57,623
,10.74,226
Yellow peppers,15.87,136
Chicken noodle soup,6.97,611
Broccoli soup,1.72,719
Relish,8.94,677
Basil,15.55,575
Corn dogs,4.03,303
Cotton swabs,18.48,289
Bottle liners,8.70,90
Tea,3.78,680
Chick peas,12.75,865
Dental/Breath bones,17.20,963
Plastic wrap,16.50,843
Candy,1.88,891
Cat litter,14.74,807
Jell-O,9.76,523
Tartar Sauce,2.42,882
Nacho dip,2.74,589
Corn flakes,2.02,809
Ground pork,18.87,96
Shortening,9.35,513
Muffin Mix,15.59,208
Turkey,7.83,69
Bay leaf,2.76,63
Half & half,17.30,62
Montreal meat spice,6.95,170
Treats,15.78,183
Brown sugar,18.44,112
Club soda,15.93,984
Peanuts,11.55,368
Beans,13.29,160
Margarine,3.23,640
Bisquick,19.78,458
Nail clippers,3.97,958
Tofu,6.92,305
Hair spray,11.02,373
Flounder,4.53,261
Sport drink,10.36,287
Allergy medication,16.32,671
Fruit salad,18.02,312
Oregano,16.90,700
Ham,9.95,940
Hot dog buns,20.74,904
Tilapia,4.07,535
Chicken bologna,14.46,659
Buns,11.62,685
Collards,7.33,971
Napkins,18.77,347
Sprouts,6.86,745
Salami,4.07,905
Cookies,8.98,961
Cream cheese,15.11,44
Pumpkin,5.25,246
Salt,2.12,919
Worcestershire sauce,15.19,168
Grooming comb,16.33,563
Zucchini,11.57,914
Chicken loaf,18.43,996
Rye bread,20.12,734
Cake mix,12.81,467
Kohlrabi,9.77,367
Pepper,16.03,387
Asparagus,14.99,832
Baking powder,7.65,203
Toilet tank fresheners,8.80,415
Brussels sprouts,8.49,712
Limes,12.03,200
Chard,5.16,781
Cocoa powder,19.56,143
Teething ring,18.23,971
Egg plant,16.50,332
Parsnips,3.02,430
Turkey pot pie,7.65,944
Shampoo,20.38,604
Lettuce,19.10,2
Dog food,14.70,12
Kid's cereal,12.73,927
Mini wheats,10.44,463
Brownie mix,2.87,552
Toilet bowl cleaner,9.49,417
Gravy,7.82,669
Olives,1.34,728
Kiwi,10.57,551
Trail mix,3.46,82
Tomato paste,7.90,602
Crab,19.60,515
Jam,11.67,60
Cranberries,2.62,935
Chicken breast,7.70,809
Bouillon cubes,11.21,291
Ice cream,20.45,399
Couscous,4.50,261
Breath mints,14.66,205
Lobster,12.44,540
Bar soap,20.10,956
Icing,18.93,804
Crackers,11.97,655
Soy milk,7.48,547
Waffles,2.42,253
Decorations,15.88,2
TV dinners,13.35,398
French bread,16.47,685
Bologna,18.86,619
Chicken pot pie,14.23,584
Baby wipes,19.74,271
Croissants,18.32,741
Glass's cleaner,3.54,34
Broccoli,18.22,672
Paper towels,1.16,816
Beets,6.78,401
Alfredo sauce,3.51,519
Tomato sauce,2.46,988
Air freshener,9.53,292
Celery,17.61,489
Apple sauce,14.59,624
Diaper rash ointment,11.04,378
Jelly,5.94,1
Cream,5.74,144
Mangoes,18.14,531
Pasta,19.06,876
Toys,13.25,76
